Date,Price,Bathrooms,Bathrooms (bin),Bedrooms,Bedrooms (bin),Condition,Floors,Grade,Id,Lat,Long,Price (bin),Sqft Living,Sqft Lot,View,Waterfront,Yr Built,Zipcode
4/21/2015,1475000,2.5,2.4,3,2.9,Average,2,11,6762700515,47.6295,-122.32,1452K,"2,570","5,000",No View,No,1984,98102
4/28/2015,1459000,4,3.2,4,3.9,Average,2,10,98300230,47.5885,-121.939,1452K,"4,620","130,208",No View,No,2014,98024
4/1/2015,1450000,3.5,3.2,4,3.9,Average,2,11,6645950070,47.554,-122.036,1417K,"5,000","38,012",No View,No,2004,98029
4/1/2015,1445000,3.5,3.2,4,3.9,Average,2,11,1377300005,47.6433,-122.403,1417K,"3,470","8,580",No View,No,2007,98199
4/23/2015,1442500,2.25,1.6,3,2.9,Good,2.5,8,5556300076,47.6485,-122.121,1417K,"2,630","9,705",Average,No,1987,98052
4/1/2015,1420000,3.25,3.2,5,4.9,Average,2,10,7419500200,47.6898,-122.189,1417K,"3,950","11,438",Average,No,2006,98033
4/20/2015,1410000,2,1.6,2,2.0,Very Good,1,9,284000025,47.5036,-122.387,1381K,"2,180","18,525",Excellent,Yes,1952,98146
4/27/2015,1400000,3.5,3.2,4,3.9,Average,1.5,11,4054530240,47.7279,-122.048,1381K,"4,380","66,613",No View,No,1993,98077
4/9/2015,1400000,4,3.2,5,4.9,Average,2,11,3303850290,47.5417,-122.111,1381K,"4,700","22,326",No View,No,2002,98006
4/8/2015,1400000,2.75,2.4,3,2.9,Average,1,8,9253900408,47.5895,-122.111,1381K,"3,130","19,530",Excellent,Yes,1947,98008
4/2/2015,1400000,2.5,2.4,4,3.9,Average,2,9,2451000070,47.5831,-122.193,1381K,"2,770","8,879",No View,No,2001,98004
4/2/2015,1398000,2.25,1.6,5,4.9,Good,1,7,2525049133,47.6191,-122.234,1381K,"2,640","14,959",No View,No,1929,98039
4/28/2015,1388000,2.25,1.6,4,3.9,Good,2,9,6448000010,47.6214,-122.227,1381K,"2,940","20,384",No View,No,1970,98004
4/21/2015,1387000,4.5,4.0,4,3.9,Average,2,11,713500020,47.5544,-122.147,1381K,"4,490","24,767",Average,No,1998,98006
